docnumber,label,labels_coll
doc3 label115,RTPCR data  (1=yes;0=no),"RTPCR data  ANALYSIS	3880	 2		 COLLECTION	3102	 3		 DATA	2433	 4		 STUDY	1806	 5		 TABLE	1048	 6		 INFORMATION	1016	 7		 RESEARCH	895	 8		 SURVEY	845	 9		 CENSUS	752	 10		 SOURCES  ANALYSIS 3880 
2   COLLECTION 3102 
3   data  ANALYSIS	3880	 2		 COLLECTION	3102	 3		 DATA	2433	 4		 STUDY	1806	 5		 TABLE	1048	 6		 INFORMATION	1016	 7		 RESEARCH	895	 8		 SURVEY	845	 9		 CENSUS	752	 10		 SOURCES 2433 
4   STUDY 1806 
5   TABLE 1048 
6   INFORMATION 1016 
7   RESEARCH 895 
8   SURVEY 845 
9   CENSUS 752 
10   SOURCES  1 yes 0 no 1 0"
doc3 label116,Patients included in prediction study  (1=yes;0=no)*,"Patients  CARE 1343 
2   DOCTOR 465 
3   FAMILY 433 
4   PATIENT 411 
5   CANCER 408 
6   TREATMENT 339 
7   HOSPITAL 338 
8   INFORMATION 337 
9   TIME 336 
10   HEALTH included in prediction  MODEL	70	 2		 WEATHER	50	 3		 CENTER	47	 4		 CLIMATE	41	 5		 ACCURACY	36	 6		 PREDICTION	36	 7		 ANALYSIS	33	 8		 THEORY	32	 9		 BEHAVIOR	31	 10		 MODELSstudy  RESULTS	3615	 2		 PURPOSE	2456	 3		 STUDENTS	2387	 4		 PARTICIPANTS	2290	 5		 CASE	2192	 6		 FINDINGS	2050	 7		 DATA	1849	 8		 STUDY	1778	 9		 RESEARCH	1771	 10		 UNIVERSITY  1 yes 0 no 1 0"
doc3 label117,4-gene prediction status (1=high risk; 0=low risk),"4 gene  THERAPY	521	 2		 POOL	294	 3		 EXPRESSION	281	 4		 ANCHOR	203	 5		 GENE	180	 6		 PROTEIN	125	 7		 MUTATION	120	 8		 CANCER	109	 9		 FLOW	108	 10		 CELLS prediction  MODEL	70	 2		 WEATHER	50	 3		 CENTER	47	 4		 CLIMATE	41	 5		 ACCURACY	36	 6		 PREDICTION	36	 7		 ANALYSIS	33	 8		 THEORY	32	 9		 BEHAVIOR	31	 10		 MODELSstatus  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT 1 high risk  0 low risk 1 0"
doc3 label118,4-genes prediction score,"4 gene  THERAPY	521	 2		 POOL	294	 3		 EXPRESSION	281	 4		 ANCHOR	203	 5		 GENE	180	 6		 PROTEIN	125	 7		 MUTATION	120	 8		 CANCER	109	 9		 FLOW	108	 10		 CELLSs prediction  MODEL	70	 2		 WEATHER	50	 3		 CENTER	47	 4		 CLIMATE	41	 5		 ACCURACY	36	 6		 PREDICTION	36	 7		 ANALYSIS	33	 8		 THEORY	32	 9		 BEHAVIOR	31	 10		 MODELSscore "
doc3 label119,Affymetrix sample sets (81cases figure 1),"Affymetrix sample sets  DATA 802 
2   TELEVISION 574 
3   TV 412 
4   SUN 373 
5   STAGE 346 
6   TONE 301 
7   STANDARDS 214 
8   REPS 172 
9   SKILL 156 
10   STANDARD  81 cases NUMBER 1326 
2   COURT 1207 
3   PERCENT 929 
4   PEOPLE 715 
5   CASES 619 
6   YEAR 614 
7   ABUSE 517 
8   AIDS 435 
9   LOT 391 
10   CHILD figure 1 S1 S2 S3"
doc3 label120,RTP-CR  sample sets (134 cases),"RTP-CR  sample sets  DATA 802 
2   TELEVISION 574 
3   TV 412 
4   SUN 373 
5   STAGE 346 
6   TONE 301 
7   STANDARDS 214 
8   REPS 172 
9   SKILL 156 
10   STANDARD 134 cases NUMBER 1326 
2   COURT 1207 
3   PERCENT 929 
4   PEOPLE 715 
5   CASES 619 
6   YEAR 614 
7   ABUSE 517 
8   AIDS 435 
9   LOT 391 
10   CHILD S1 S2 S3"
doc3 label121,Filename,"Filename  LIBRARY 3 
2   DISK 2 
3   PROGRAM 2 
4   PLUS 2 
5   APPEARANCE 2 
6   EXTENSION 2 
7   ENVELOPES 1 
8   EDITOR 1 
9   DRIVE 1 
10   DOT"
doc4 label122,Tu-vs-NL,"Tu-vs-NL cancer  BREAST 7447 
2   RISK 1994 
3   PROSTATE 1916 
4   LUNG 1775 
5   PATIENTS 1338 
6   CANCER 1186 
7   DISEASE 1178 
8   COLON 1120 
9   RESEARCH 1006 
10   INSTITUTE"
doc4 label123,Age@Dx,"Age  YEARS 5350 
2   CHILDREN 2389 
3   GROUP 2358 
4   GENDER 1779 
5   PEOPLE 1756 
6   WOMEN 1627 
7   GROUPS 1425 
8   AGE 1176 
9   SEX 1117 
10   MEN Diagnosis  TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR"
doc4 label124,Gender,"Gender DIFFERENCES 2345 
2   RACE 1770 
3   AGE 1758 
4   ROLES 748 
5   CLASS 671 
6   ETHNICITY 639 
7   IDENTITY 521 
8   WOMEN 494 
9   GAP 492 
10   ISSUES  Male Female  Female  MALE 3003 
2   STUDENTS 1501 
3   ATHLETES 960 
4   BODY 546 
5   PARTICIPANTS 497 
6   VOICE 487 
7   PERCENT 481 
8   WOMEN 427 
9   STUDENT 351 
10   FIGURE  0    Male  FEMALE 2275 
2   STUDENTS 1056 
3   WOMEN 595 
4   ATHLETES 586 
5   VOICE 496 
6   VIDEO 489 
7   CLIP 472 
8   PARTICIPANTS 445 
9   COUNTERPARTS 401 "
doc4 label125,Smoking Status,"Smoking  CIGARETTE 976 
2   GUN 583 
3   CIGARETTES 532 
4   DRINKING 476 
5   SCENES 372 
6   HEALTH 334 
7   PEOPLE 302 
8   CESSATION 287 
9   MARIJUANA 242 
10   ALCOHOL status  QUO	3298	 2		 HEALTH	1097	 3		 WOMEN	793	 4		 STATUS	445	 5		 EDUCATION	436	 6		 POWER	408	 7		 IMMIGRATION	379	 8		 AGE	378	 9		 GENDER	364	 10		 EMPLOYMENT current neversmoker former "
doc4 label126,OC vs. OP,"OC vs. OP oral cavity  CHEST 99 
2   BODY 89 
3   PARANASAL 41 
4   EAR 39 
5   SINUSES 39 
6   TURKEY 34 
7   SKIN 31 
8   CHICKEN 27 
9   SINUS 27 
10   NECK Oropharynx  CAVITY 20 
2   NASOPHARYNX 4 
3   POPULATION 3 
4   WALL 3 
5   HYPOPHARYNX 3 
6   FIGURE 2 
7   ARM 2 
8   APPEARANCE 2 
9   MASS 2 
10   MUCOSA"
doc4 label127,T stage,"T stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 1 2 3 4"
doc4 label128,cN stage,"cN stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 0 1 2 2b 2c "
doc4 label129,pN stage,"pN stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 0 1 2b 2c"
doc4 label130,DM?,diabetes mellitus 0
doc4 label131,ecs,electrocerebral silence y n
doc4 label132,treatment,"treatment  DRUG	1469	 2		 CANCER	856	 3		 PATIENTS	833	 4		 TREATMENT	792	 5		 GROUP	788	 6		 WATER	783	 7		 PROGRAMS	730	 8		 ABUSE	723	 9		 PROGRAM	664	 10		 PEOPLE S cRT RT IC"
doc4 label133,dxdate,"diagnosis TREATMENT 586 
2   CANCER 289 
3   YEARS 179 
4   DISEASE 167 
5   TIME 157 
6   DISORDER 135 
7   PATIENTS 122 
8   MANAGEMENT 100 
9   DIAGNOSIS 98 
10   DOCTOR  date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT "
doc4 label134,txdate,"treatment  DRUG 1469 
2   CANCER 856 
3   PATIENTS 833 
4   TREATMENT 792 
5   GROUP 788 
6   WATER 783 
7   PROGRAMS 730 
8   ABUSE 723 
9   PROGRAM 664 
10   PEOPLE date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT "
doc4 label135,localrecur,"local recurrence  RATE	91	 2		 RISK	89	 3		 CANCER	85	 4		 RATES	66	 5		 PATIENTS	62	 6		 METASTASIS	40	 7		 DISEASE	37	 8		 BREAST	35	 9		 EVIDENCE	35	 10		 TUMOR"
doc4 label136,locrecurdt,"local recurrence  RATE	91	 2		 RISK	89	 3		 CANCER	85	 4		 RATES	66	 5		 PATIENTS	62	 6		 METASTASIS	40	 7		 DISEASE	37	 8		 BREAST	35	 9		 EVIDENCE	35	 10		 TUMOR date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT "
doc4 label137,nodalrecur,"nodal recurrence  RATE	91	 2		 RISK	89	 3		 CANCER	85	 4		 RATES	66	 5		 PATIENTS	62	 6		 METASTASIS	40	 7		 DISEASE	37	 8		 BREAST	35	 9		 EVIDENCE	35	 10		 TUMOR 0 1"
doc4 label138,nodrecurdt,"nodal recurrence  RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR "
doc4 label139,DM?,Diabetes mellitus
doc4 label140,DM date?,"Diabetes Mellitus date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT? "
doc4 label141,survivallastfollowup,"survival  RATES 322 
2   RATE 318 
3   CHANCE 264 
4   SKILLS 263 
5   SPECIES 253 
6   CHANCES 219 
7   STRUGGLE 183 
8   MATTER 148 
9   PEOPLE 145 
10   STORY  last followup STUDY 330 
2   QUESTIONS 187 
3   QUESTION 173 
4   STUDIES 171 
5   DATA 159 
6   MONTHS 157 
7   YEARS 157 
8   INTERVIEWS 146 
9   PATIENTS 136 
10   CARE  dead  MAN 2144 
2   PEOPLE 1779 
3   BODY 1029 
4   BODIES 792 
5   END 790 
6   MOTHER 695 
7   FATHER 694 
8   SEA 679 
9   MEN 663 
10   YEARS unknown disease  HEART	5931	 2		 CONTROL	2833	 3		 CENTERS	2442	 4		 PREVENTION	2069	 5		 RISK	1806	 6		 CANCER	1178	 7		 PEOPLE	801	 8		 PATIENTS	781	 9		 DIABETES	756	 10		 DISEASE living NED died treatment  DRUG 1469 
2   CANCER 856 
3   PATIENTS 833 
4   TREATMENT 792 
5   GROUP 788 
6   WATER 783 
7   PROGRAMS 730 
8   ABUSE 723 
9   PROGRAM 664 
10   PEOPLE due to with other cause no "
doc4 label142,vital,"vital dead MAN 2144 
2   PEOPLE 1779 
3   BODY 1029 
4   BODIES 792 
5   END 790 
6   MOTHER 695 
7   FATHER 694 
8   SEA 679 
9   MEN 663 
10   YEARS other oscc unknown  PEOPLE 569 
2   MAN 385 
3   TIME 238 
4   YEARS 219 
5   MOTHER 204 
6   FATHER 178 
7   PERSON 158 
8   DAY 142 
9   WORLD 137 
10   WAY alive"
doc4 label143,lastfudt,"last follow-up  STUDY 330 
2   QUESTIONS 187 
3   QUESTION 173 
4   STUDIES 171 
5   DATA 159 
6   MONTHS 157 
7   YEARS 157 
8   INTERVIEWS 146 
9   PATIENTS 136 
10   CARE date  TIME	624	 2		 BIRTH	537	 3		 NIGHT	361	 4		 YEARS	361	 5		 RAPE	336	 6		 YEAR	301	 7		 EXPIRATION	295	 8		 NAME	266	 9		 RELEASE	236	 10		 COURT"
doc4 label144,futime,"follow-up  STUDY 330 
2   QUESTIONS 187 
3   QUESTION 173 
4   STUDIES 171 
5   DATA 159 
6   MONTHS 157 
7   YEARS 157 
8   INTERVIEWS 146 
9   PATIENTS 136 
10   CARE time "
doc4 label145,ajcc4,American Joint Committee on Cancer 4 1 2 3 4
doc4 label146,ajcc2,American Joint Committee on Cancer 2 0 1 
doc4 label147,OSCCdeath,"Oral Squamous Cell  PHONE 6506 
2   PHONES 2421 
3   STEM 1432 
4   RESEARCH 947 
5   FUEL 940 
6   CELL 634 
7   JAIL 347 
8   CARCINOMA 334 
9   SICKLE 334 
10   NUMBER Carcinoma CELL 334 
2   PATIENTS 57 
3   CARCINOMA 52 
4   CASES 35 
5   BREAST 33 
6   DIAGNOSIS 27 
7   CANCER 22 
8   CASE 20 
9   HEAD 18 
10   LARYNX death  PENALTY	5495	 2		 LIFE	3639	 3		 ROW	1864	 4		 CAUSE	1668	 5		 YEARS	1423	 6		 FATHER	1234	 7		 TIME	1206	 8		 TOLL	1198	 9		 SENTENCE	1109	 10		 DEATH 0 1 "
doc4 label148,alldeath,"all death  PENALTY	5495	 2		 LIFE	3639	 3		 ROW	1864	 4		 CAUSE	1668	 5		 YEARS	1423	 6		 FATHER	1234	 7		 TIME	1206	 8		 TOLL	1198	 9		 SENTENCE	1109	 10		 DEATH 0 1 "
doc4 label149,MainID,"Main identification  NUMBER	236	 2		 TEAM	194	 3		 PROCESS	184	 4		 WORD	165	 5		 STUDENTS	140	 6		 GROUP	128	 7		 SYSTEM	128	 8		 CARD	122	 9		 CARDS	118	 10		 PROBLEM "
doc5 label150,Cellfile ID,"Cellfile identification  NUMBER 236 
2   TEAM 194 
3   PROCESS 184 
4   WORD 165 
5   STUDENTS 140 
6   GROUP 128 
7   SYSTEM 128 
8   CARD 122 
9   CARDS 118 
10   PROBLEM"
doc5 label151,Tissue type,"Tissue  PAPER 407 
2   SCAR 313 
3   BRAIN 292 
4   MUSCLE 282 
5   BREAST 254 
6   DAMAGE 229 
7   SAMPLES 199 
8   BONE 194 
9   TISSUE 182 
10   CELLS type  DIABETES 1178 
2   THING 675 
3   PERSON 611 
4   TYPE 585 
5   PEOPLE 557 
6   INFORMATION 372 
7   BODY 351 
8   ACTIVITY 319 
9   SYSTEM 316 
10   BLOOD primary tumour normal mucosa "
doc5 label152,Gender,"Gender DIFFERENCES 2345 
2   RACE 1770 
3   AGE 1758 
4   ROLES 748 
5   CLASS 671 
6   ETHNICITY 639 
7   IDENTITY 521 
8   WOMEN 494 
9   GAP 492 
10   ISSUES  m f"
doc5 label153,Age at major operation,"Age  YEARS 5350 
2   CHILDREN 2389 
3   GROUP 2358 
4   GENDER 1779 
5   PEOPLE 1756 
6   WOMEN 1627 
7   GROUPS 1425 
8   AGE 1176 
9   SEX 1117 
10   MEN at major operation  DESERT 673 
2   RESCUE 529 
3   STORM 459 
4   YEARS 328 
5   PART 306 
6   FREEDOM 263 
7   YEAR 261 
8   STING 260 
9   HOURS 225 
10   OPERATION"
doc5 label154,Centre,"Centre  RESEARCH 185 
2   HEALTH 164 
3   UNIVERSITY 110 
4   ARTS 93 
5   STUDIES 93 
6   DIRECTOR 67 
7   CITY 59 
8   COLLEGE 57 
9   INFORMATION 57 
10   WORLD manchester oxford "
doc5 label155,Primary _or_recurrence,"Primary recurrence RATE 91 
2   RISK 89 
3   CANCER 85 
4   RATES 66 
5   PATIENTS 62 
6   METASTASIS 40 
7   DISEASE 37 
8   BREAST 35 
9   EVIDENCE 35 
10   TUMOR  primary"
doc5 label156,Anatomic Region,"Anatomic Region  PEOPLE 619 
2   COUNTRY 584 
3   COUNTRIES 499 
4   REGION 457 
5   WORLD 410 
6   STATE 375 
7   GULF 299 
8   LAKES 286 
9   BORDER 255 
10   STABILITY op other oc l hy "
doc5 label157,Site,"site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE tonsil  HYPERTROPHY 11 
2   HOCKEY 7 
3   SURGEON 7 
4   TISSUE 6 
5   POLE 5 
6   INFECTION 5 
7   CANCER 4 
8   DISSECTION 4 
9   WEIGHT 4 
10   PORTION paransal sinus  SURGERY 136 
2   INFECTION 100 
3   INFECTIONS 75 
4   THROMBOSIS 59 
5   PATIENTS 40 
6   DISEASE 39 
7   PROBLEMS 38 
8   SINUS 38 
9   PARANASAL 30 
10   CAVITY anterior tongue MOUTH 391 
2   MOTHER 337 
3   TIP 333 
4   LIPS 305 
5   TEETH 239 
6   CHEEK 177 
7   BACK 113 
8   TONGUE 103 
9   SLIP 96 
10   MOVEMENT  posterior supraglottis floor mouth EYES 1170 
2   HAND 1139 
3   NOSE 810 
4   WORD 789 
5   WORDS 576 
6   CORNER 546 
7   CORNERS 474 
8   RIVER 421 
9   HANDS 409 
10   SIDE hypopharynx piriform fossa subglottus"
doc5 label158,Side,"S identification  NUMBER 236 
2   TEAM 194 
3   PROCESS 184 
4   WORD 165 
5   STUDENTS 140 
6   GROUP 128 
7   SYSTEM 128 
8   CARD 122 
9   CARDS 118 
10   PROBLEM 2a 0 2b 1 2c "
doc5 label159,Clin.T_stage,"Clin.Tstage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 1 2 3 4"
doc5 label160,Clin.N_stage,"Clin.Nstage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER 0 1 2a 2b 2c"
doc5 label161,Nature of operation,"Nature of operation DESERT 673 
2   RESCUE 529 
3   STORM 459 
4   YEARS 328 
5   PART 306 
6   FREEDOM 263 
7   YEAR 261 
8   STING 260 
9   HOURS 225 
10   OPERATION"
doc5 label162,Previous site,"Previous site  WEB	15455	 2		 CONSTRUCTION	792	 3		 WORLD	608	 4		 INFORMATION	481	 5		 SITE	464	 6		 CENTER	424	 7		 INTERNET	412	 8		 COMPANY	405	 9		 CRASH	394	 10		 PEOPLE"
doc5 label163,Previous stage,"Previous stage  CENTER	1482	 2		 LIFE	751	 3		 DEVELOPMENT	648	 4		 WORLD	648	 5		 STAGE	533	 6		 MANAGER	387	 7		 TIME	330	 8		 PROCESS	313	 9		 PEOPLE	308	 10		 CAREER "
doc5 label164,Previous_surgery,"Previous surgery  PLASTIC	1206	 2		 KNEE	716	 3		 HEART	621	 4		 PATIENTS	515	 5		 BYPASS	479	 6		 BRAIN	401	 7		 CANCER	343	 8		 SURGERY	335	 9		 HOSPITAL	324	 10		 NECK "
doc5 label165,Previous DXT,"Previous Deep xray  NIGHT 6 
2   $35 4 
3   SPECTROSCOPY 3 
4   EMISSION 3 
5   EMERGENCY 3 
6   CHEST 2 
7   DISPATCHER 2 
8   MACHINE 2 
9   HEADLIGHTS 2 
10   FRONT therapy  RADIATION 572 
2   GENE 515 
3   HORMONE 508 
4   THERAPY 485 
5   GROUP 439 
6   REPLACEMENT 437 
7   FAMILY 384 
8   PATIENTS 359 
9   DRUG 351 
10   SESSION"
doc5 label166,Previous chemo,"Previous chemotherapy RADIATION 355 
2   CANCER 164 
3   SURGERY 134 
4   TREATMENT 120 
5   PATIENTS 99 
6   TREATMENTS 92 
7   DRUGS 79 
8   MONTHS 71 
9   EFFECTS 65 
10   THERAPY"
doc5 label167,Previous disease notes,"Previous disease  HEART	5931	 2		 CONTROL	2833	 3		 CENTERS	2442	 4		 PREVENTION	2069	 5		 RISK	1806	 6		 CANCER	1178	 7		 PEOPLE	801	 8		 PATIENTS	781	 9		 DIABETES	756	 10		 DISEASE notes "
doc5 label168,Smoke,"smoke  CIGARETTE	1006	 2		 FIRE	524	 3		 TOBACCO	413	 4		 CLOUD	385	 5		 PEOPLE	376	 6		 AIR	349	 7		 CIGARETTES	329	 8		 MIRRORS	247	 9		 SMELL	240	 10		 CIGAR never smoke  CIGARETTE	1006	 2		 FIRE	524	 3		 TOBACCO	413	 4		 CLOUD	385	 5		 PEOPLE	376	 6		 AIR	349	 7		 CIGARETTES	329	 8		 MIRRORS	247	 9		 SMELL	240	 10		 CIGARd ex current start stop"
doc5 label169,Alcohol,"alcohol DRUG	1972	 2		 USE	1779	 3		 DRUGS	1732	 4		 ABUSE	1321	 5		 CONSUMPTION	836	 6		 TOBACCO	834	 7		 PROBLEMS	481	 8		 ALCOHOL	332	 9		 FIREARMS	299	 10		 BUREAU no alcohol DRUG 1972 
2   USE 1779 
3   DRUGS 1732 
4   ABUSE 1321 
5   CONSUMPTION 836 
6   TOBACCO 834 
7   PROBLEMS 481 
8   ALCOHOL 332 
9   FIREARMS 299 
10   BUREAU never heavy currently "
